0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Cluster_Label,Reconstruction_Error,Anomaly
0.0,1.7379494,0.8117764,3.0359836,0.0,3.8693492,0.0,1.0797712,0.0,1.2975199,3.1155393,0.0,3.7205222,1.3990031,3.0679035,0.35928717,0.0,0.0,0.0,0.0,3.97387,0.0,0.0,3.022157,1.5073539,1,0.024598360093148416,False
0.0,1.0576584,0.93922085,1.5261902,4.012762,3.4430134,0.0,0.4423613,0.0,0.92021143,2.0045125,0.35501093,0.9362036,1.6798327,0.0,1.1822006,0.0,0.0,0.0,0.0,2.2818367,0.0,0.0,2.9259677,1.6169685,0,0.02574211993092149,False
0.0,0.36358434,2.7127824,1.7593306,1.3082798,3.683423,0.0,1.7755535,0.0,1.6967716,1.9216539,1.9207518,1.7321991,1.0834383,2.0946336,1.9603356,0.0,0.0,0.0,0.0,1.9178526,0.0,0.0,2.15582,4.2625723,2,0.02570653763921782,False
0.0,0.47804356,2.9077654,2.1210866,1.0907325,3.170411,0.0,1.4701941,0.0,1.5976942,2.0128038,1.391462,1.9500315,0.66462636,2.0340154,2.1551802,0.0,0.0,0.0,0.0,1.9345658,0.0,0.0,2.1260402,4.116813,2,0.019328803948230416,False
0.0,2.1330214,1.1736529,2.3219528,3.039502,5.060799,0.0,3.141419,0.0,1.4716903,2.3801801,0.74995255,2.8111103,0.2904827,2.6128283,1.1866525,0.0,0.0,0.0,0.0,3.4658396,0.0,0.0,3.6843019,0.31502014,0,0.02533137601453772,False
0.0,1.6511378,1.2007353,2.8542814,2.3948426,4.0838614,0.0,0.73988,0.0,1.1895958,2.6677988,1.064367,1.8213055,2.820062,0.85937405,2.1947455,0.0,0.0,0.0,0.0,2.3040993,0.0,0.0,3.7334845,3.1492903,1,0.022083311842993586,False
0.0,1.2055476,1.4252579,3.09418,2.1960912,4.316348,0.0,0.7852471,0.0,1.2976617,3.1493971,0.31415716,2.613671,2.4417856,1.2603114,1.76829,0.0,0.0,0.0,0.0,3.361172,0.0,0.0,3.3447783,2.7024767,1,0.01238625382463213,False
0.0,0.8085844,1.6409402,3.1104279,1.9161844,3.6197698,0.0,0.033408128,0.0,0.0,2.4591992,1.0674558,2.5583875,2.4697237,1.0699495,1.9042236,0.0,0.0,0.0,0.0,2.252259,0.0,0.0,2.615739,3.3673825,1,0.033386058669753256,False
0.0,1.8468966,1.3885964,1.2456456,3.8735495,4.5204754,0.0,0.798423,0.0,1.3570993,2.317955,0.5030464,1.1351371,1.2767279,0.27531642,2.548267,0.0,0.0,0.0,0.0,2.145526,0.0,0.0,4.1028967,1.2275373,0,0.024338311250438904,False
0.0,1.4852388,1.623336,3.50247,0.5478939,3.8830063,0.0,1.9995944,0.0,0.7957395,2.949464,0.41355705,2.842851,0.86662173,2.765116,1.109681,0.0,0.0,0.0,0.0,3.2007914,0.0,0.0,3.4253578,1.2696804,1,0.02202552763967769,False
